original,En2Malagasy,Malagasy2En,En2Malay,Malay2En,En2Malayalam,Malayalam2En,En2Maltese,Maltese2En,En2Maori,Maori2En,En2Marathi,Marathi2En,En2Mongolian,Mongolian2En,En2Burmese,Burmese2En,En2Nepali,Nepali2En,En2Norwegian,Norwegian2En,En2Nyanja_Chichewa,Nyanja_Chichewa2En,En2Oriya,Oriya2En
She is a speech-language pathologist.,Mpandinika momba ny fiteny amin'ny fiteny kabary izy. ,He is a linguist in the vernacular. ,Dia adalah ahli patologi bahasa pertuturan. ,He is a pathologist of spoken language. ,അവൾ ഒരു സ്പീച്ച്-ലാംഗ്വേജ് പാത്തോളജിസ്റ്റാണ്. ,She is a speech-language pathologist. ,Hija patoloġista tal-lingwa tat-taħdit. ,She is a speech language pathologist. ,He tohunga korero reo-korero ia. ,He is a language-speaking expert. ,ती भाषण भाषेतील पॅथॉलॉजिस्ट आहे. ,She is a pathologist in speech language. ,Тэрээр ярианы хэл ярианы эмгэг судлаач юм. ,He is a speech pathologist. ,သူမသည်မိန့်ခွန်းဘာသာစကားရောဂါဗေဒပညာရှင်တစ် ဦး ဖြစ်သည်။ ,She is a speech language pathologist. ,उनी एक बोली भाषा रोगविज्ञानी हुन्। ,He is a dialect linguist. ,Hun er en talespråklig patolog. ,She is a speech pathologist. ,Ndiwodwala wolankhula. ,He is a talkative patient. ,ସେ ଜଣେ ବକ୍ତୃତା ଭାଷା ପାଥୋଲୋଜିଷ୍ଟ | ,He is a speech-language pathologist 
She is a statistician.,Statistika izy. ,He is a statistic. ,Dia seorang ahli statistik. ,He is a statistician. ,അവൾ ഒരു സ്ഥിതിവിവരക്കണക്കാണ്. ,She is a statistician. ,Hija statistika. ,It is a statistic. ,He tatauranga ia. ,He is a statistic. ,ती एक सांख्यिकीविज्ञान आहे. ,She is a statistician. ,Тэр бол статистикч юм. ,He is a statistician. ,သူမသည်စာရင်းအင်းပညာရှင်တစ် ဦး ဖြစ်သည်။ ,She is an accountant. ,उनी सांख्यिकीविद् हुन्। ,He is a statistician. ,Hun er statistiker. ,She's a statistician. ,Ndi wowerengera. ,He is a reader. ,ସେ ଜଣେ ପରିସଂଖ୍ୟାନ | ,He is a statistician 
She is a surveyor.,Mpanadihady izy. ,He is an investigator. ,Dia adalah juruukur. ,He is a surveyor. ,അവൾ ഒരു സർവേയറാണ്. ,She is a surveyor. ,Hija servejra. ,She is serving. ,He kairuri ia. ,He is a surveyor. ,ती एक सर्व्हेअर आहे. ,She is a surveyor. ,Тэр маркшейдер мэргэжилтэй. ,He is a surveyor. ,သူမကမြေတိုင်းစစ်ဆေးသူပါ။ ,She is a surveyor. ,उनी एक सर्वेक्षणकर्ता हुन्। ,He is a surveyor. ,Hun er landmåler. ,She is a surveyor. ,Ndi wowunika. ,It's a light. ,ସେ ଜଣେ ସର୍ବେକ୍ଷଣକାରୀ | ,He is a surveyor 
She is a therapist.,Mpitsabo izy. ,He is a doctor. ,Dia adalah ahli terapi. ,He is a therapist. ,അവൾ ഒരു തെറാപ്പിസ്റ്റാണ്. ,She is a therapist. ,Hija terapista. ,She is a therapist. ,He kaiawhina ia. ,She is an assistant. ,ती एक थेरपिस्ट आहे. ,She is a therapist. ,Тэр эмч. ,He is a doctor. ,သူမသည်တစ် ဦး ကုထုံးဖြစ်ပါတယ်။ ,She is a therapist. ,उनी एक चिकित्सक हुन्। ,He is a physician. ,Hun er terapeut. ,She's a therapist. ,Ndiwothandizira. ,He is a helper. ,ସେ ଜଣେ ଥେରାପିଷ୍ଟ | ,He is a therapist 
She is an undertaker.,Mpiasa izy. ,He is an employee. ,Dia adalah pengusaha. ,He is an entrepreneur. ,അവൾ ഒരു ജോലിക്കാരിയാണ്. ,She is a maid. ,Hija funerarja. ,It is a funeral home. ,He kaitautoko ia. ,He is a supporter. ,ती एक अंडरटेकर आहे. ,She is an Undertaker. ,Тэр undertaker юм. ,He is an undertaker. ,သူမသည်တစ် ဦး undertaker ဖြစ်ပါတယ်။ ,She is an undertaker. ,उनी एक उपक्रमकर्ता हुन्। ,He is an entrepreneur. ,Hun er en begravelsesmann. ,She's a funeral director. ,Iye ndi woika maliro. ,He is the undertaker. ,ସେ ଜଣେ କାର୍ଯ୍ୟକର୍ତ୍ତା | ,He is an activist 
She is an urban planner.,Mpanomana tanàna izy. ,He is a town planner. ,Dia adalah perancang bandar. ,He is a town planner. ,അവൾ ഒരു നഗര ആസൂത്രകയാണ്. ,She is a city planner. ,Hija pjanifikatur urban. ,She is an urban planner. ,He whakamahere taone ia. ,He is a town planner. ,ती शहरी नियोजक आहे. ,She is an urban planner. ,Тэр бол хот төлөвлөгч юм. ,He is a city planner. ,သူမသည်မြို့ပြစီမံကိန်းရေးဆွဲသူဖြစ်သည်။ ,She is an urban planner. ,उनी शहरी योजनाकार हुन्। ,He is an urban planner. ,Hun er byplanlegger. ,She's a city planner. ,Ndiwokonzekera kutawuni. ,It is ready for downtown. ,ସେ ଜଣେ ସହରୀ ଯୋଜନାକାରୀ | ,He is an urban planner 
She is a videographer.,Mpanoratra horonantsary izy. ,He is a filmmaker. ,Dia adalah videografer. ,He is a videographer. ,അവൾ വീഡിയോഗ്രാഫറാണ്. ,She is a videographer. ,Hija videografa. ,She is a videographer. ,He kaihanga ataata ia. ,He is a videographer. ,ती एक व्हिडिओग्राफर आहे. ,She is a videographer. ,Тэр видео зураглаач. ,That videographer. ,သူမသည်ဗီဒီယိုရိုက်ကူးသူဖြစ်သည်။ ,She is a videographer. ,उनी एक भिडियोग्राफर हो। ,He is a videographer. ,Hun er videograf. ,She is a videographer. ,Ndiwojambula kanema. ,I am a filmmaker. ,ସେ ଜଣେ ଭିଡିଓଗ୍ରାଫର | ,He is a videographer 
She is a virologist.,Virologista izy. ,He is a virologist. ,Dia adalah ahli virologi. ,He is a virologist. ,അവൾ ഒരു വൈറോളജിസ്റ്റാണ്. ,She is a virologist. ,Hija viroloġista. ,She is a virologist. ,He kaimaiiao ia. ,A kaimaiiao it . ,ती एक व्हायरोलॉजिस्ट आहे. ,She is a virologist. ,Тэр вирус судлаач. ,He is a virologist. ,သူမသည်ရောဂါဗေဒပညာရှင်ဖြစ်သည်။ ,She is a pathologist. ,उनी एक भाइरोलजिस्ट हुन्। ,He is a virologist. ,Hun er virolog. ,She's a virologist. ,Ndiwo virologist. ,She is a virologist. ,ସେ ଜଣେ ଭାଇରୋଲୋଜିଷ୍ଟ | ,He is a virologist 
She is a visual artist.,Mpanakanto mijery sary izy. ,He is an artist watching pictures. ,Dia adalah artis visual. ,He is a visual artist. ,അവൾ ഒരു വിഷ്വൽ ആർട്ടിസ്റ്റാണ്. ,She is a visual artist. ,Hija artista viżiva. ,She is a visual artist. ,He kaitoi toi a ia. ,He is an artist. ,ती एक दृश्य कलाकार आहे. ,She is a visual artist. ,Тэр бол харааны зураач юм. ,He is a visual artist. ,သူမသည်အမြင်အာရုံအနုပညာရှင်တစ် ဦး ဖြစ်သည်။ ,She is a visual artist. ,उनी एक दृश्य कलाकार हुन्। ,He is a visual artist. ,Hun er billedkunstner. ,She is a visual artist. ,Ndi wojambula. ,He is an artist. ,ସେ ଜଣେ ଭିଜୁଆଲ୍ କଳାକାର | ,He is a visual artist 
She is a waiter.,Mpandroso sakafo izy. ,She is a waitress. ,Dia seorang pelayan. ,He is a waiter. ,അവൾ ഒരു വെയിറ്ററാണ്. ,She is a waiter. ,Hija wejter. ,She is a waiter. ,He waiter ia. ,He is a waiter. ,ती एक वेटर आहे. ,She is a waiter. ,Тэр зөөгч. ,He's a waiter. ,သူမကစားပွဲထိုးပါ ,She is a waiter ,उनी एक वेटर हुन्। ,He is a waiter. ,Hun er kelner. ,She's a waiter. ,Ndi woperekera zakudya. ,He is a caterer. ,ସେ ଜଣେ ୱେଟର | ,He is a waiter 
She is a web designer.,Mpamorona tranonkala izy. ,He is a web designer. ,Dia adalah pereka web. ,She is a web designer. ,അവൾ ഒരു വെബ് ഡിസൈനറാണ്. ,She is a web designer. ,Hija disinjatur tal-web. ,She is a web designer. ,He kaihoahoa paetukutuku ia. ,She is a website designer. ,ती एक वेब डिझायनर आहे. ,She is a web designer. ,Тэр вэб дизайнер. ,He is a web designer. ,သူမသည်ဝဘ်ဒီဇိုင်းပညာရှင်ဖြစ်သည်။ ,She is a web designer. ,उनी वेब डिजाइनर हुन्। ,She is a web designer. ,Hun er en webdesigner. ,She is a web designer. ,Ndiwopanga masamba awebusayiti. ,Website Designer. ,ସେ ଜଣେ ୱେବ୍ ଡିଜାଇନର୍ | ,He is a web designer 
She is a web developer.,Mpandrindra tranonkala izy. ,She is a webmaster. ,Dia adalah pembangun web. ,He is a web developer. ,അവൾ ഒരു വെബ് ഡെവലപ്പർ ആണ്. ,She is a web developer. ,Hija żviluppatur tal-web. ,She is a web developer. ,He kaiwhakawhanake paetukutuku ia. ,He is a website developer. ,ती एक वेब विकसक आहे. ,She is a web developer. ,Тэр бол вэб хөгжүүлэгч юм. ,He is a web developer. ,သူမသည်ဝဘ်ရေးဆွဲသူဖြစ်သည်။ ,She is a web designer. ,उनी वेब विकासकर्ता हुन्। ,He is a web developer. ,Hun er nettutvikler. ,She is a web developer. ,Ndiye wopanga masamba awebusayiti. ,Then a webmaster. ,ସେ ଜଣେ ୱେବ୍ ଡେଭଲପର୍ | ,He is a web developer 
She is a zoologist.,Zoologista izy. ,He is a zoologist. ,Dia seorang ahli zoologi. ,He is a zoologist. ,അവൾ ഒരു സുവോളജിസ്റ്റാണ്. ,She is a zoologist. ,Hija zoologa. ,She is a zoologist. ,He kaimanaaki kanohi ia. ,She is an eye-catcher. ,ती प्राणीशास्त्रज्ञ आहे. ,She is a zoologist. ,Тэр амьтан судлаач. ,He is a zoologist. ,သူမသည်သတ္တဗေဒပညာရှင်ဖြစ်သည်။ ,She is a zoologist. ,उनी एक प्राणीशास्त्री हुन्। ,He is a zoologist. ,Hun er zoolog. ,She's a zoologist. ,Ndi dokotala wazinyama. ,It's a veterinarian. ,ସେ ଜଣେ ପ୍ରାଣୀ ବିଜ୍ଞାନୀ | ,He is a zoologist 
